Record ID,Website URL,isShopify,isActive,isPasswordProtected,Create Date,Number of Associated Contacts,City,Country/Region,Last Activity Date,Company owner,Company name
27379763376,sthani.club,true,true,false,2024-12-18 14:07,1.0,,,2024-12-30 18:18,,Sthani
27390887522,sombra.la,true,true,false,2024-12-18 12:18,1.0,,,2024-12-18 12:19,,SOMBRA
27410749721,thehamptons.in,true,true,false,2024-12-18 11:50,1.0,,India,2024-12-18 11:50,,thehamptons
27422476975,donkavi.com,false,false,false,2024-12-18 11:19,1.0,Medellín,Colombia,2024-12-18 11:20,,Don Kavi Entrepreneurship
27333689629,strangethejewellers.co.uk,true,true,false,2024-12-17 18:14,1.0,Wokingham,United Kingdom,2024-12-17 18:15,,Strange the Jewellers
27309219385,sitanevado.com,true,true,false,2024-12-17 11:39,1.0,,,2024-12-23 11:33,,Sita Nevado
27309529488,housingworks.org,false,false,false,2024-12-17 11:27,2.0,New York,United States,2024-12-23 11:31,,Housing Works
27312626314,mostwantednl.nl,true,true,false,2024-12-17 11:24,1.0,Rotterdam,Netherlands,2024-12-17 11:24,,Most Wanted
27348115762,212global.com,false,false,false,2024-12-17 11:13,1.0,,,2024-12-18 12:15,,212global
27191745553,bronzesdafrique.com,true,true,false,2024-12-16 11:09,1.0,Nantes,France,,,Bronzes d'Afrique
27087789070,shiprocket.com,false,false,false,2024-12-13 17:51,2.0,,,2024-12-26 11:50,,shiprocket.com
27027756324,svony.com,true,true,false,2024-12-13 11:17,1.0,Newark,United States,2024-12-13 11:18,,Svony
27026672019,infuse5098.zendesk.com,false,false,false,2024-12-13 11:12,1.0,San Francisco,United States,2024-12-18 11:40,,Zendesk
27071482680,remicardtrader.ca,true,true,false,2024-12-13 11:09,2.0,,Canada,2024-12-18 11:37,,Rémi Card Trader
27064780464,nickhorey.com,true,true,false,2024-12-13 11:07,2.0,New York,United States,2024-12-13 11:08,,Nickho Rey
26916454061,ecommerce-today.com,false,false,false,2024-12-12 17:59,1.0,Săcele,Romania,2025-01-02 11:39,,eCommerce Today Agency
26961225478,paulevansny.com,true,true,false,2024-12-12 11:30,1.0,New York,United States,2024-12-17 11:26,,Paul Evans
26960141625,e-kommers.com,false,false,false,2024-12-12 11:11,1.0,,,2024-12-18 12:15,,Grupo AKR
26883095912,drishti.cl,true,true,false,2024-12-11 12:13,1.0,,Chile,2024-12-11 12:13,,Drishti
26903921698,toastswim.com,true,true,false,2024-12-11 12:10,1.0,Torrance,United States,2024-12-17 11:19,,Toast Swim
26894412622,stonefoxswim.com,true,true,false,2024-12-11 12:10,1.0,Torrance,United States,2024-12-17 11:19,,STONE FOX SWIM
26887285866,harrybear.com,true,true,false,2024-12-11 12:07,1.0,,,2024-12-16 11:44,,Harry Bear
26875554346,springfield.sa,true,true,false,2024-12-11 12:04,1.0,,Saudi Arabia,2024-12-17 11:16,,Springfield KSA
26835374447,masterlook.dz,false,false,false,2024-12-10 11:22,1.0,,,2024-12-16 11:40,,
26828924583,illice.com,true,true,false,2024-12-10 11:16,1.0,,,2024-12-27 11:08,,IBG Illice Brands Group
26762271263,radikal.io,false,false,false,2024-12-09 14:37,2.0,,Belgium,2024-12-09 14:38,,Radikal
26765109653,vorina.co.uk,true,true,false,2024-12-09 12:01,1.0,,United Kingdom,2024-12-17 11:22,,Vorina
26663999583,mmshopydevs.com,false,false,false,2024-12-06 16:03,1.0,Barcelona,Spain,2024-12-06 16:04,,MM Shopy Devs
26658905506,alulu.com.au,true,true,false,2024-12-06 12:38,3.0,,Australia,2024-12-06 12:38,,ALULU
26652063819,bowlerhat.es,true,true,false,2024-12-06 12:13,1.0,,Spain,2024-12-06 12:14,,Bowler Hat
26636759594,innovationsounds.com,true,true,false,2024-12-06 12:11,1.0,,,2024-12-07 23:46,,Innovation Sounds
26646733059,matraci.bg,true,true,false,2024-12-06 12:09,1.0,,Bulgaria,2024-12-17 11:43,,Matraci.bg
26658725005,matrax.bg,false,false,false,2024-12-06 12:09,1.0,,Bulgaria,2024-12-17 11:43,,Matrax
26652019084,colibrigroup.com,false,false,false,2024-12-06 11:56,2.0,Warren,United States,2024-12-24 11:22,,Colibri
26638743322,stevensa.com,true,true,false,2024-12-05 11:28,2.0,Medellín,Colombia,2024-12-12 11:33,,ST. EVEN
26623012012,melowdesign.com,false,false,false,2024-12-05 11:25,3.0,,,2024-12-05 11:26,,Melow
26634039111,hypeneedz.com,true,true,false,2024-12-05 11:23,2.0,München,Germany,2024-12-05 11:24,,HYPENEEDZ
26558724640,mannsupply.com,true,true,false,2024-12-04 18:44,1.0,Toronto,Canada,2024-12-04 19:06,,Mann Supply
26557537406,aguabendita.com.co,false,false,false,2024-12-04 11:15,2.0,Medellín,Colombia,2024-12-12 10:56,,AGUA BENDITA S.A.S
26564586614,rexaline.com,true,true,false,2024-12-04 11:06,1.0,Paris,France,2024-12-11 11:54,,Rexaline
26557855630,kritikadawar.com,true,true,false,2024-12-04 10:57,1.0,,,2024-12-04 10:58,,Kritika Dawar
26551987307,womensecret.sa,true,true,false,2024-12-04 10:56,1.0,,Saudi Arabia,2024-12-04 10:57,,Women'secret KSA
26564376172,baedstories.com,true,true,false,2024-12-04 10:54,1.0,Kyiv,Ukraine,2024-12-04 10:55,,baedstories
26524214612,advives.com,false,false,false,2024-12-03 17:56,1.0,Longwood,United States,2024-12-03 17:57,,Advives
26521562751,pronk.in,true,true,false,2024-12-03 14:54,1.0,,India,2024-12-09 12:09,,pronk.in
26518871917,thefuncompany.in,true,true,false,2024-12-03 14:27,1.0,,India,2024-12-09 12:08,,The Fun Company
26519995236,bijondo.it,true,true,false,2024-12-03 11:07,2.0,,Italy,2024-12-10 11:28,,bijondo.it
26522013071,littlewonderandco.com,true,true,false,2024-12-03 11:04,2.0,,,2024-12-10 11:21,,Little Wonder & Co
26512325123,tabeerhomes.com,true,true,false,2024-12-03 11:02,2.0,Dubai,United Arab Emirates,2024-12-03 11:03,,Tabeer Homes
26496526135,blueplanetoutdoors.com,true,true,false,2024-12-02 11:18,2.0,Chandler,United States,2024-12-02 11:19,,Blue Planet Outdoors
26494819754,dimehouse.nl,true,true,false,2024-12-02 11:04,1.0,,Netherlands,2024-12-09 11:24,,DIMEHOUSE
26495587392,vince-ecom.nl,false,false,false,2024-12-02 11:04,1.0,,,2024-12-09 11:24,,vince-ecom.nl
26436743948,lightwave.co.il,true,true,false,2024-11-29 11:50,1.0,,Israel,2024-11-29 15:50,,LIGHTWAVE
26343237951,bauhaus.com.hk,true,true,false,2024-11-27 14:26,1.0,Hong Kong,Hong Kong,2024-11-27 14:27,,Bauhaus
26321795910,kalistastudio.in,true,true,false,2024-11-27 12:16,1.0,,India,2024-12-04 11:02,,Kalista-Ind
26338921765,nb-egypt.com,false,false,false,2024-11-27 12:06,1.0,El Obour City,Egypt,2024-11-27 12:07,,New Born
26309347412,rocnation.com,false,false,false,2024-11-26 17:45,1.0,Beverly Hills,United States,2024-12-16 11:16,,Roc Nation
26311859555,rekhta.org,false,false,false,2024-11-26 13:20,3.0,Noida,India,2024-12-24 12:47,,Rekhta
26314613676,bhrata.com,true,true,false,2024-11-26 11:21,1.0,,,2024-11-26 11:22,,bhrata.com
26308529750,ad-apt.com,false,false,false,2024-11-26 11:16,1.0,Lake Oswego,United States,2024-11-26 11:17,,Ad-Apt
26262550425,kdeco.ro,true,true,false,2024-11-25 21:05,1.0,,Romania,2024-11-25 21:05,,Kdeco.ro
26273232695,baltzar.com,true,true,false,2024-11-25 16:12,1.0,Malmö,Sweden,2024-11-28 11:31,,Baltzar
26256052819,boaideas.com,false,false,false,2024-11-25 15:37,1.0,BROOKLYN,United States,2024-11-25 15:38,,BOA Ideas
26256354215,boaidea.com,false,false,false,2024-11-25 15:37,1.0,,,2024-11-25 15:38,,Boa Idea
26268868415,zue-kw.com,true,true,false,2024-11-25 11:33,3.0,Kuwait City,Kuwait,,,ZUE
26262669149,oxgnfashion.com,true,true,false,2024-11-25 11:21,1.0,,,2024-11-28 10:31,,OXGN
26201290283,penshoppe.com,true,true,false,2024-11-22 11:36,1.0,Mandaluyong,Philippines,2024-11-26 11:20,,PENSHOPPE
26192718747,goldenabc.com,false,false,false,2024-11-22 11:36,3.0,Mandaue City,Philippines,2024-11-28 10:31,,GOLDEN ABC
26187206765,tennisexpress.com,true,true,false,2024-11-22 11:10,4.0,Houston,United States,2024-11-26 13:34,,Tennis Express
26152829797,shopigo.com,true,true,false,2024-11-21 14:35,2.0,,Turkey,2024-11-21 14:36,,Shopi go
26151032996,dutchshopper.com,true,true,false,2024-11-21 12:49,1.0,,United States,2024-11-26 11:23,,Dutchshopper
26151013020,lyxelandflamingo.com,false,false,false,2024-11-21 12:32,2.0,Gurugram,India,2024-11-21 12:32,,Lyxel&Flamingo
26134912929,petstrong.in,true,true,false,2024-11-20 18:07,1.0,,India,2024-11-20 18:08,,PetStrong
26137373079,ajdigital.co.uk,false,false,false,2024-11-20 15:13,1.0,,United Kingdom,2024-11-20 15:13,,AJ Digital
26127824239,waterworldsports.co.uk,true,true,false,2024-11-20 13:54,2.0,Borehamwood,United Kingdom,2024-11-27 11:52,,waterworldsports.co.uk
26123173543,primmsstyle.com,true,true,false,2024-11-19 21:28,1.0,Winston-Salem,United States,2024-11-19 21:28,,Primm's
26117092623,vloerkledenwinkel.nl,true,true,false,2024-11-19 21:24,3.0,Hilversum,Netherlands,2024-11-29 11:31,,Vloerkledenwinkel
25942868049,elleme.com,true,true,false,2024-11-17 23:21,1.0,Paris,France,2024-11-17 23:21,,Elleme
25941327194,republiccosmetics.com,true,true,false,2024-11-17 23:04,3.0,,Mexico,2024-12-30 11:11,,Republic Cosmetics USA
25955036237,roucha.com,true,true,false,2024-11-17 22:57,1.0,Berlin,Germany,2024-11-17 22:58,,ROUCHA
25807274063,dubaipetfood.com,false,false,false,2024-11-14 16:45,2.0,دبي,United Arab Emirates,2024-12-26 17:48,,Dubaipetfood.com
25805101131,pearlanddiamond.hu,true,true,false,2024-11-14 15:49,1.0,,Hungary,2024-11-14 15:50,,
25742749320,theindienne.com,true,true,true,2024-11-13 12:44,1.0,,,2024-11-14 15:03,,theindienne.com
25755833942,unoallavolta.com,true,true,false,2024-11-13 11:29,1.0,North Branford,United States,2024-11-13 11:29,,Uno Alla Volta
25752900362,guildbrands.com,false,false,false,2024-11-13 11:29,1.0,,,2024-11-13 11:29,,guildbrands.com
25739500593,gelindiamond.de,true,true,false,2024-11-13 11:24,1.0,,Germany,2024-11-21 11:36,,Gelin Diamond DE
25782996563,passagedudesir.fr,false,false,false,2024-11-13 11:21,1.0,Paris,France,2024-11-17 23:18,,Passage du Désir
25674490436,olnerdesign.co.uk,false,false,false,2024-11-11 12:04,1.0,,United Kingdom,2024-11-14 15:15,,Olner Design
25672546146,lavieenrose.com.sa,true,true,false,2024-11-11 11:37,1.0,,Saudi Arabia,2024-11-19 21:21,,La Vie En Rose
25635034004,classiclegendmotors.com,true,true,false,2024-11-11 11:30,1.0,,,2024-11-11 11:31,,Classic Legend Motors
25667910210,cuir-city.com,false,false,false,2024-11-11 11:30,1.0,Amiens,France,2024-11-11 11:31,,Cuir-City.com
25675098174,hallwaystudios.com,false,false,false,2024-11-11 11:25,2.0,Watford,United Kingdom,2024-11-28 16:25,,Hallway Studios
25616183817,icasestores.com,true,true,false,2024-11-08 14:59,1.0,,,2024-11-08 15:00,,iCase Stores
25609652612,astoundcommerce.com,false,false,false,2024-11-08 14:45,1.0,San Bruno,United States,2024-11-08 14:45,,Astound Commerce
25612414306,soul-cycle.com,false,false,false,2024-11-08 14:45,3.0,New York,United States,2024-11-08 14:45,,SoulCycle
25521769094,luxlexicon.com,true,true,false,2024-11-06 15:45,1.0,,,2024-12-23 13:42,,luxlexicon.com
25530243400,urbanofashion.com,true,true,false,2024-11-06 12:06,3.0,,,2024-12-09 12:17,,Urbano Fashion
25500055114,rowiethelabel.com,true,true,false,2024-11-05 14:53,2.0,Byron Bay,Australia,2024-11-05 14:54,,ROWIE
25499740526,leslunes.de,true,true,false,2024-11-05 11:26,2.0,,Germany,2024-11-12 11:48,,Les Lunes
25481271056,rhyde.co,true,true,false,2024-11-05 11:19,3.0,,Spain,2024-11-06 12:54,,Rhyde
25489529703,loewi.fr,true,true,false,2024-11-05 11:17,2.0,Seattle,United States,2024-11-05 11:17,,LOEWI
25496212770,thisisthelast.com,true,true,false,2024-11-05 11:13,3.0,Beverly Hills,United States,2024-11-05 11:13,,The Last Line
25483729775,glamstory.co.in,true,true,false,2024-11-05 11:09,2.0,,India,2024-11-05 11:10,,Glam Story
25431289218,skultuna.com,true,true,false,2024-11-04 15:09,1.0,Skultuna,Sweden,2024-11-04 15:10,,Skultuna
25392752688,lighttrends.com,true,true,false,2024-11-04 14:01,1.0,Darien,United States,2024-11-04 14:02,,Lighttrends.com
25391755043,nebulab.com,false,false,false,2024-11-04 11:50,1.0,Middletown,United States,2024-11-04 11:50,,Nebulab
25404173409,jotoimagingsupplies.com,true,true,false,2024-11-04 11:25,3.0,Blaine,United States,2024-12-02 11:06,,Joto Imaging Supplies
25416939865,alessandra.com.au,true,true,false,2024-11-04 11:19,3.0,,Australia,2024-11-20 13:58,,Alessandra
25441269291,batik-uk.com,true,true,false,2024-11-04 11:12,1.0,Bradford,United Kingdom,2024-11-08 11:09,,BATIK
25391599468,dapperfam.com,true,true,false,2024-11-04 11:09,2.0,Louisville,United States,2024-11-04 11:10,,GQ Unlimited
25437350203,lepro1600.com,true,true,false,2024-11-04 11:06,1.0,,,2024-11-07 11:32,,Le Pro 1600
25377030795,vitabase.com,false,false,false,2024-11-01 22:08,1.0,Between,United States,2024-11-01 22:08,,Vitabase
25242038298,actital.com,false,false,false,2024-10-30 11:19,1.0,Stockholm,Sweden,2024-11-04 15:10,,Actital
25279094701,deardigital.com,false,false,false,2024-10-30 11:03,2.0,Gent,Belgium,2024-11-05 14:47,,dear digital
25205153309,batik.ae,true,true,false,2024-10-29 12:04,2.0,,,2024-10-29 12:04,,batik.ae
25196883749,zm2.co.uk,false,false,false,2024-10-29 11:37,1.0,,,2024-10-29 11:37,,zm2.co.uk
25175585050,dirtstore.co.uk,true,true,false,2024-10-29 11:37,1.0,,United Kingdom,2024-10-29 11:37,,Dirt Store
25194970785,weinspirits.com,true,true,false,2024-10-29 11:36,1.0,,,2024-11-11 11:42,,Weinspirits
25187313675,linejensen.org,true,true,false,2024-10-29 11:20,2.0,,,2024-11-05 11:18,,Line Jensen
25153572766,bookhero.co.nz,true,true,false,2024-10-28 14:46,3.0,,New Zealand,2024-10-28 14:47,,Book Hero
25154329451,devxconsultancy.com,false,false,false,2024-10-28 11:11,1.0,Surat,India,2024-10-28 11:12,,DevX Consultancy
25169494174,sprint.fr,false,false,false,2024-10-28 10:46,1.0,,France,2024-10-28 10:47,,Sprint SA
25166873879,myrontoback.com,false,false,false,2024-10-28 10:42,2.0,New York,United States,2024-10-28 10:43,,myrontoback
25171283998,admiresty.com,true,true,false,2024-10-28 10:38,1.0,North Las Vegas,United States,2024-10-28 10:39,,Admiresty
25153558425,admiresty.co,false,false,false,2024-10-28 10:38,1.0,Raleigh,United States,2024-10-28 10:39,,Admiresty
25122313728,mydrobe.pk,true,true,false,2024-10-25 14:43,1.0,,Pakistan,2024-10-27 13:07,,Mydrobe
25112094977,surpluscityliquidators.com,true,true,false,2024-10-24 23:22,1.0,Lebanon,United States,2024-10-24 23:23,,Surplus City
25073232657,brico-subito.it,true,true,false,2024-10-24 11:09,1.0,,Italy,2024-10-24 11:09,,Brico Subito
25101108087,smartkeep.ro,false,false,false,2024-10-24 11:09,1.0,,,2024-10-24 11:09,,smartkeep.ro
25092700189,fairytale.eco,true,true,false,2024-10-24 11:07,2.0,,,2024-10-24 11:08,,fairytale
25050006126,reternity.de,true,true,false,2024-10-23 11:33,3.0,,Germany,2024-10-23 11:33,,RETERNITY
25027224972,worldofdice.de,true,true,false,2024-10-23 11:25,2.0,,Germany,2024-10-23 11:25,,World Of Dice - Dein Würfelshop
25007703143,coralslub.com,true,true,false,2024-10-22 13:03,3.0,,,2024-10-22 13:03,,Coral Slub
23977657913,outdoorplay.com,true,true,false,2024-10-22 10:54,1.0,Hood River,United States,2024-10-23 11:06,,Outdoorplay
23975305379,rzist.ae,true,true,false,2024-10-21 11:23,1.0,,United Arab Emirates,2024-10-21 11:24,,RZIST
23978030851,soneven.com,true,true,false,2024-10-21 11:11,1.0,,United States,2024-10-21 11:12,,Soneven
23975814929,myafricacaribbean.com,true,true,false,2024-10-21 11:09,1.0,Richmond,United States,2024-10-24 11:11,,My Africa Caribbean
23951651898,bubblesplastic.co.za,true,true,false,2024-10-18 15:07,1.0,,South Africa,2024-10-18 16:10,,bubblesplastic.co.za
23934976934,impakful.com,false,false,false,2024-10-18 15:07,3.0,,,2024-10-18 16:10,,Impakful Innovations
23895976548,thisissefi.com,true,true,false,2024-10-17 12:54,1.0,London,United Kingdom,2024-12-03 11:23,,SEFI
23899033358,pawsnatural.ca,true,true,false,2024-10-17 11:36,1.0,,Canada,2024-10-24 23:13,,PawsNatural Pet Store
23898568968,silversal.com,true,true,false,2024-10-17 11:31,1.0,,,2024-10-24 23:10,,silversal.com
23895659573,footway.com,false,false,false,2024-10-17 11:23,1.0,Kista,Sweden,2024-10-17 11:24,,Footway Group
23858109344,kingattitude.it,true,true,false,2024-10-16 12:09,1.0,,Italy,2024-10-29 12:06,,KING
23858100839,byte-code.com,false,false,false,2024-10-16 12:09,1.0,Milano,Italy,2024-12-27 11:12,,Byte-Code
23835380520,infftru-shop.com,true,true,false,2024-10-15 11:29,1.0,Columbus,United States,2024-10-15 11:30,,Infftru
23826015343,missshorthair.co.uk,true,true,false,2024-10-14 17:59,1.0,,United Kingdom,2024-10-18 11:35,,Miss Shorthair
23821917744,fustany.com,false,false,false,2024-10-14 13:26,3.0,,Egypt,2024-10-14 13:26,,Fustany
23822362411,gorillasportswears.com,false,false,false,2024-10-14 11:00,1.0,,,2024-10-22 11:44,,gorillasportswears.com
23822073444,gorillaoutfit.com,true,true,false,2024-10-14 11:00,1.0,,,2024-10-22 11:44,,Gorillaoutfit
23811120387,growe.dev,false,false,false,2024-10-14 10:54,1.0,,,2024-10-18 11:30,,growe.dev
23822276513,renaudo.com,true,true,false,2024-10-14 10:54,1.0,Mondovì,Italy,2024-10-18 11:30,,Renaudo
23822070807,epicurean-nomads.sg,true,true,false,2024-10-14 10:49,1.0,,Singapore,2024-10-14 10:50,,epicurean nomads private limited
23810210700,sakemama.com.sg,true,true,false,2024-10-14 10:49,1.0,,Singapore,2024-10-14 10:50,,SAKE MAMA
23821906225,graphie.dk,true,true,false,2024-10-14 10:48,1.0,,Denmark,2024-10-22 11:23,,Graphie
23817885871,josephinenord.dk,true,true,false,2024-10-14 10:48,2.0,,Denmark,2024-10-22 11:23,,Josephine Nord
23772610986,toynk.com,true,true,false,2024-10-11 11:29,2.0,Addison,United States,2024-10-22 11:42,,Toynk Toys
23741444982,gant.in,true,true,false,2024-10-10 22:54,1.0,,India,2024-10-10 22:55,,Gant
23757650606,cultivated.agency,false,false,false,2024-10-10 22:49,2.0,,,2024-10-10 22:49,,cultivated.agency
23725466757,getbinks.com,true,true,false,2024-10-10 22:41,2.0,Bengaluru,India,2024-12-30 16:46,,Binks
23716855151,brokeundschoen.de,true,true,false,2024-10-09 13:41,1.0,Berlin,Germany,2024-10-09 13:42,,Broke + Schön Shop Berlin
23663996272,levinehat.com,true,true,false,2024-10-08 22:49,2.0,St. Louis,United States,2024-10-10 22:48,,Levine Hat Co.
23633564446,stadiumgoods.com,true,true,false,2024-10-08 14:27,2.0,New York,United States,2024-10-08 23:00,,Stadium Goods
23617328698,shoppingmatriz.com.br,true,true,false,2024-10-07 14:06,1.0,,Brazil,2024-10-07 14:07,,Shopping Matriz
23613803371,jentestore.com,false,false,false,2024-10-07 11:26,2.0,,Korea, Republic of,2024-10-18 11:32,,JENTE
23567449231,rapanuiclothing.com,true,true,false,2024-10-04 18:51,1.0,Freshwater,United Kingdom,2024-12-24 12:43,,Rapanui
23548316162,teemill.com,false,false,false,2024-10-04 18:51,3.0,Freshwater,United Kingdom,2024-12-24 12:43,,Teemill
23549525515,kidly.co.uk,true,true,false,2024-10-04 11:15,4.0,Watford,United Kingdom,2024-10-04 11:15,,KIDLY
23549523349,89thandmadison.com,true,true,false,2024-10-04 11:03,1.0,New York,United States,2024-10-08 11:00,,89th + Madison
23550231954,nycalliance.com,false,false,false,2024-10-04 11:03,2.0,New York,United States,2024-10-08 11:00,,NYC Alliance
23554983555,mikkeller.dk,false,false,false,2024-10-04 10:57,1.0,København,Denmark,2024-10-15 11:34,,Mikkeller
23520963155,pureromance.com,false,false,false,2024-10-03 12:34,3.0,Cincinnati,United States,2024-10-14 10:56,,Pure Romance
23523585570,day.dk,true,true,false,2024-10-03 12:30,1.0,København,Denmark,2024-10-03 12:31,,DAY Birger et Mikkelsen
23521429657,homecraftology.com,true,true,false,2024-10-03 12:28,1.0,,Australia,2024-10-10 22:44,,Home Craftology
23522817357,sprbl.com,true,false,false,2024-10-03 12:25,1.0,,,2024-10-03 12:25,,sprbl.com
23443767053,stay-rooted.com,true,true,false,2024-10-01 12:24,3.0,Nashville,United States,2024-10-10 22:57,,ROOTED
23441492834,umusic.com,false,false,false,2024-09-30 20:18,2.0,Santa Monica,United States,2024-10-01 19:06,,Universal Music Group
23431345763,swtantrabrands.com,false,false,false,2024-09-30 16:53,2.0,New Delhi,India,2024-11-06 12:19,,Swtantra Brands
23433117578,arsrgroup.com,false,false,false,2024-09-30 16:53,1.0,New Delhi,India,2024-11-06 12:19,,arsrgroup.com
23429114119,freewill.in,true,true,false,2024-09-30 13:45,3.0,,India,2024-11-06 12:21,,Freewill
23414348978,wakemakers.com,true,true,false,2024-09-30 11:44,3.0,Bend,United States,2024-10-03 14:04,,WakeMAKERS
23427976583,khloefemme.com,true,true,false,2024-09-30 11:41,2.0,Canalicchio,Italy,2024-10-15 11:23,,Khloefemme
23428175403,anamweaving.com,false,false,false,2024-09-30 11:34,1.0,Lahore,Pakistan,2024-10-08 11:06,,Anam Weaving Mill
23428228657,seran.com.pk,true,true,false,2024-09-30 11:34,1.0,,Pakistan,2024-10-08 11:06,,Seran
23417413663,canoopi.com,true,true,false,2024-09-30 11:31,1.0,,,2024-09-30 11:32,,Canoopi
23428156432,shrus.com,true,true,false,2024-09-30 11:24,1.0,Chennai,India,2024-10-03 11:31,,Shrus
23347622824,oneblockdown.it,true,true,false,2024-09-27 17:59,1.0,Milan,Italy,2024-09-29 13:42,,ONE BLOCK DOWN
23295927854,artemedia.co.in,false,false,false,2024-09-26 12:41,1.0,,India,2024-09-30 17:50,,ArtE Mediatech
23308387090,capresebags.com,true,true,false,2024-09-26 12:41,2.0,,,2024-09-30 17:50,,Caprese
23295918384,walnutfolks.com,false,false,false,2024-09-26 11:01,1.0,Bengaluru,India,2024-10-21 11:44,,Walnut Folks
23242773788,goruck.com,true,true,false,2024-09-25 10:47,4.0,Jacksonville Beach,United States,2025-01-02 15:43,,GORUCK
23215127078,calypsostbarth.com,true,true,false,2024-09-24 11:29,2.0,,United States,2024-09-24 11:30,,Calypso St. Barth
23229587010,gasper.co,true,true,false,2024-09-24 11:21,1.0,,,2024-10-03 11:47,,Gasper
23209069973,c-in2.com,true,true,false,2024-09-23 22:29,1.0,New York,United States,2024-09-23 22:29,,C-IN2 New York
23169555369,marginmedia.com.au,false,false,false,2024-09-23 11:22,1.0,Fortitude Valley,Australia,2024-09-23 11:22,,Margin Media
23178447965,177milkstreet.com,false,false,false,2024-09-23 11:12,3.0,Boston,United States,2024-09-23 11:13,,Christopher Kimball’s Milk Street
23197719396,pamelascott.com,true,true,false,2024-09-23 11:02,1.0,Dublin 24,Ireland,2024-10-03 11:36,,PAMELA SCOTT
23168831253,localeclectic.com,true,true,false,2024-09-23 10:58,2.0,Chicago,United States,2024-10-03 11:44,,Local Eclectic
23145929621,acemarks.com,true,true,false,2024-09-20 10:34,1.0,Doral,United States,2024-09-30 11:39,,Ace Marks
23148467248,octimanagement.com,false,false,false,2024-09-20 10:34,1.0,,,2024-12-17 11:26,,OCTI Management
23125833293,character.com,true,true,false,2024-09-19 20:55,1.0,Fforest-fach,United Kingdom,2024-12-16 11:44,,Character.com
23120174672,brandedonline.com,false,false,false,2024-09-19 11:18,1.0,Costa Mesa,United States,2024-09-19 11:18,,Branded Online Ecommerce
23120114718,essgee.co,true,true,false,2024-09-19 11:15,1.0,New Delhi,India,2024-10-03 11:38,,Essgee
23120111426,rickysarkany.com,false,false,false,2024-09-19 11:10,2.0,,Argentina,2024-10-01 11:32,,SARKANY
23107890339,loscabosshoes.com,true,true,false,2024-09-19 11:07,1.0,,,2024-09-30 11:37,,Los Cabos Shoes
23109660577,intersport.com.au,true,true,false,2024-09-18 22:30,1.0,Melbourne,Australia,2024-09-19 11:03,,INTERSPORT Australia
23099021638,ictinsuranceschool.com,true,true,false,2024-09-18 13:32,2.0,,,2024-09-18 13:32,,ictinsuranceschool.com
23097899288,buykud.com,true,true,false,2024-09-18 11:02,1.0,Guangzhou,China,2024-09-27 11:03,,Buykud
